CustomerID,Region,State,Gender,Age,Address,City,Zip,customer_type,purchase_category,payment_type,Income
176-64-7711,West,Nevada,Male,54,1824 Morris St.,Hamburg,92793,Normal,Food and beverages,Credit card,104030
176-78-1170,East,New Jersey,Male,25,1325 S. Harrison Dr,Cerritos,97647,Member,Health and beauty,Ewallet,112929
181-82-6255,Midwest,Kansas,Female,63,1138 Morris St.,Hamburg,93677,Normal,Home and lifestyle,Cash,117109
181-94-6432,East,New York,Male,44,620 Hilldale Street,Wasburg,91995,Member,Fashion accessories,Ewallet,123955
182-52-7000,East,Maine,Female,24,418 Catherine St.,Hillsburg,97510,Member,Sports and travel,Ewallet,68546
182-69-8360,West,Utah,Female,60,1779 S. Elizabeth Dr.,Sunderlun,96200,Normal,Electronic accessories,Credit card,114488
182-88-2763,East,Vermont,Male,66,2084 Brookside Court,Berkshire,94340,Member,Food and beverages,Credit card,26126
183-21-3799,West,California,Female,54,110 Mill Pond Rd.,Heathen,93697,Normal,Electronic accessories,Ewallet,124495
183-56-6882,East,Maine,Female,47,2358 Brookside Court,Berkshire,90477,Member,Food and beverages,Ewallet,79707
186-09-3669,Midwest,Kansas,Female,46,554 Laurel Lane,Sunview,91017,Member,Health and beauty,Ewallet,61785
186-43-8965,Midwest,South Dakota,Female,70,1154 Morris St.,Hamburg,99994,Member,Home and lifestyle,Credit card,39105
186-71-5196,West,Utah,Female,62,963 Middle River Rd.,Orange,91939,Member,Food and beverages,Ewallet,73451
186-79-9562,West,Utah,Male,24,1022 S. Harrison Dr,Cerritos,92612,Normal,Health and beauty,Cash,31086
187-83-5490,West,Colorado,Male,45,843 Brookside Court,Berkshire,93954,Member,Electronic accessories,Cash,72872
188-55-0967,Midwest,Wisconsin,Male,43,1822 35th Dr.,Weatherton,95240,Member,Health and beauty,Credit card,69067
189-08-9157,Midwest,North Dakota,Female,22,213 E. Green Lake Court,Prarie View,99900,Normal,Fashion accessories,Credit card,116031
189-17-4241,South,Florida,Female,66,883 E. Green Lake Court,Prarie View,92295,Normal,Fashion accessories,Credit card,60476
189-40-5216,West,Nevada,Male,67,778 Pierce Lane,Fallbrook,99795,Normal,Electronic accessories,Cash,58390
189-52-0236,South,Georgia,Male,45,1663 Princeton Rd.,Stamview,91179,Normal,Electronic accessories,Cash,78807
189-55-2313,West,Nevada,Female,57,1174 West Lilac Lane,Greenview,99197,Normal,Fashion accessories,Ewallet,107827
189-98-2939,Midwest,Kansas,Male,57,1155 Morris St.,Hamburg,98835,Normal,Fashion accessories,Cash,88740
190-14-3147,West,Nevada,Female,31,1573 E. Green Lake Court,Prarie View,90442,Normal,Health and beauty,Ewallet,80356
190-59-3964,West,Nevada,Male,42,1394 S. Elizabeth Dr.,Sunderlun,90206,Member,Food and beverages,Credit card,68786
191-10-6171,South,Kentucky,Female,56,2005 Gates Drive,Summerville,99012,Normal,Fashion accessories,Cash,43935
191-29-0321,East,New Jersey,Female,42,131 Sierra Rd.,Beaumont,95749,Member,Fashion accessories,Credit card,34181
192-98-7397,Midwest,Iowa,Male,55,213 S. Shadow Brook Drive,Hampshire,98004,Normal,Fashion accessories,Ewallet,111370
195-06-0432,East,Maine,Male,37,667 E. Green Lake Court,Prarie View,93065,Member,Home and lifestyle,Credit card,59527
196-01-2849,West,Arizona,Female,30,110 Princeton Rd.,Stamview,99373,Member,Fashion accessories,Cash,101683
197-77-7132,East,Vermont,Male,70,1409 Brook St.,Glory View,95174,Member,Electronic accessories,Ewallet,116942
198-66-9832,East,Maine,Female,47,1311 Catherine St.,Hillsburg,92800,Member,Fashion accessories,Cash,71321
198-84-7132,West,Colorado,Male,32,1323 S. Harrison Dr,Cerritos,96107,Member,Fashion accessories,Cash,100415
199-75-8169,East,Vermont,Male,52,1195 S. Shadow Brook Drive,Hampshire,98781,Member,Sports and travel,Credit card,91218
200-16-5952,Midwest,Wisconsin,Male,35,598 Brookside Court,Berkshire,90167,Member,Food and beverages,Cash,33053
200-40-6154,South,Georgia,Male,70,1716 Brookside Court,Berkshire,90092,Member,Home and lifestyle,Cash,40961
201-63-8275,West,Arizona,Female,47,588 Mill Pond Rd.,Heathen,94739,Member,Sports and travel,Ewallet,55406
201-86-2184,South,Georgia,Female,67,2154 Gates Drive,Summerville,96537,Member,Electronic accessories,Cash,81191
207-73-1363,West,Nevada,Male,37,1493 S. Elizabeth Dr.,Sunderlun,99826,Normal,Health and beauty,Ewallet,30734
209-61-0206,Midwest,Kansas,Female,47,528 Hilldale Street,Wasburg,90016,Normal,Home and lifestyle,Ewallet,32941
210-30-7976,South,Maryland,Female,43,1149 Gates Drive,Summerville,97558,Member,Fashion accessories,Ewallet,56852
210-57-1719,South,Georgia,Female,55,106 Mill Pond Rd.,Heathen,96071,Normal,Health and beauty,Cash,74160
210-67-5886,Midwest,North Dakota,Female,69,1439 Hilldale Street,Wasburg,99874,Member,Health and beauty,Credit card,105705
210-74-9613,East,Maine,Male,49,1615 Middle River Rd.,Orange,94529,Normal,Fashion accessories,Ewallet,72638
211-05-0490,East,New Jersey,Female,38,2214 18th Dr.,Weatherton,97295,Member,Electronic accessories,Cash,119565
211-30-9270,West,California,Male,36,791 Catherine St.,Hillsburg,92653,Normal,Health and beauty,Credit card,74033
212-62-1842,Midwest,South Dakota,Male,70,1990 S. Shadow Brook Drive,Hampshire,98099,Normal,Food and beverages,Cash,103198
213-32-1216,West,California,Female,69,2267 West Lilac Lane,Greenview,90087,Normal,Electronic accessories,Cash,122305
213-72-6612,West,Colorado,Male,35,1333 Pierce Lane,Fallbrook,93925,Normal,Food and beverages,Cash,36071
214-17-6927,South,Mississippi,Female,24,1237 Princeton Rd.,Stamview,96344,Normal,Food and beverages,Ewallet,48677
214-30-2776,East,New Jersey,Female,35,1234 West Lilac Lane,Greenview,92801,Member,Electronic accessories,Credit card,95080
217-58-1179,West,Arizona,Male,50,1702 S. Shadow Brook Drive,Hampshire,94315,Member,Home and lifestyle,Cash,112876
218-59-9410,East,New York,Female,61,1395 S. Elizabeth Dr.,Sunderlun,95278,Member,Home and lifestyle,Ewallet,53653
219-22-9386,East,New York,Male,44,1956 Sierra Rd.,Beaumont,96528,Member,Sports and travel,Credit card,78586
219-61-4139,West,Nevada,Male,27,1808 Indian Summer St,Griner,92701,Normal,Electronic accessories,Ewallet,52493
220-28-1851,East,New York,Male,54,1883 Brook St.,Glory View,93075,Normal,Home and lifestyle,Ewallet,71482
220-68-6701,South,Kentucky,Female,26,1630 S. Harrison Dr,Cerritos,91467,Normal,Home and lifestyle,Cash,80519
221-25-5073,West,Nevada,Female,36,276 Catherine St.,Hillsburg,96340,Normal,Food and beverages,Cash,92038
222-42-0244,South,Mississippi,Female,27,2172 Main Street,Plainview,96851,Member,Health and beauty,Credit card,58715
225-32-0908,Midwest,South Dakota,Female,70,1854 Hilldale Street,Wasburg,96186,Normal,Sports and travel,Ewallet,92114
225-98-1496,East,Maine,Female,60,1364 9th Dr.,Weatherton,94500,Normal,Fashion accessories,Credit card,70022
226-31-3081,Midwest,South Dakota,Female,39,2091 Morris St.,Hamburg,91426,Normal,Electronic accessories,Cash,113512
226-34-0034,South,Florida,Female,55,137 S. Harrison Dr,Cerritos,91000,Normal,Electronic accessories,Ewallet,111789
226-71-3580,East,Vermont,Female,37,1962 E. Green Lake Court,Prarie View,94287,Normal,Sports and travel,Cash,58350
227-03-5010,West,Nevada,Female,37,1940 S. Harrison Dr,Cerritos,91917,Member,Home and lifestyle,Credit card,116480
227-07-4446,East,Maine,Female,48,255 Brookside Court,Berkshire,99641,Member,Electronic accessories,Cash,66227
227-50-3718,Midwest,South Dakota,Male,25,1525 West Lilac Lane,Greenview,98221,Normal,Health and beauty,Cash,39362
227-78-1148,West,Arizona,Female,67,873 Mill Pond Rd.,Heathen,95824,Normal,Fashion accessories,Cash,45988
228-96-1411,West,Colorado,Female,40,2353 S. Shadow Brook Drive,Hampshire,99511,Member,Food and beverages,Cash,69039
232-11-3025,Midwest,Wisconsin,Male,62,201 Middle River Rd.,Orange,95491,Normal,Sports and travel,Cash,104225
232-16-2483,West,Colorado,Female,45,141 5th Dr.,Weatherton,94471,Member,Sports and travel,Ewallet,108616
233-34-0817,Midwest,South Dakota,Female,55,967 West Lilac Lane,Greenview,96212,Member,Electronic accessories,Cash,97988
233-67-5758,Midwest,North Dakota,Male,61,1340 53rd Dr.,Weatherton,92766,Normal,Health and beauty,Ewallet,74281
234-03-4040,Midwest,North Dakota,Female,22,1472 Morris St.,Hamburg,92989,Member,Food and beverages,Credit card,95700
234-36-2483,South,Kentucky,Male,60,1854 Brook St.,Glory View,96282,Normal,Health and beauty,Cash,69176
234-65-2137,West,Arizona,Male,67,115 Main Street,Plainview,97620,Normal,Home and lifestyle,Cash,109884
235-06-8510,East,Maine,Male,25,967 50th Dr.,Weatherton,95702,Member,Home and lifestyle,Ewallet,33467
235-46-8343,Midwest,Wisconsin,Male,45,551 Main Street,Plainview,90588,Member,Food and beverages,Credit card,25748
236-27-1144,West,Utah,Female,22,1813 Princeton Rd.,Stamview,96849,Normal,Food and beverages,Ewallet,95361
236-86-3015,Midwest,South Dakota,Male,38,672 Sierra Rd.,Beaumont,90614,Member,Home and lifestyle,Ewallet,55703
237-01-6122,Midwest,Wisconsin,Female,39,2320 Brookside Court,Berkshire,90020,Member,Home and lifestyle,Credit card,50015
237-44-6163,Midwest,Iowa,Male,31,2312 Gates Drive,Summerville,96760,Normal,Electronic accessories,Cash,110034
238-45-6950,East,Rhode Island,Male,31,433 Brookside Court,Berkshire,95968,Member,Food and beverages,Ewallet,104786
238-49-0436,Midwest,Wisconsin,Male,47,1781 West Lilac Lane,Greenview,94688,Normal,Health and beauty,Credit card,58252
239-10-7476,East,New Jersey,Female,56,101 Pierce Lane,Fallbrook,96414,Normal,Home and lifestyle,Ewallet,95737
239-36-3640,South,Florida,Male,38,1094 Indian Summer St,Griner,92825,Normal,Electronic accessories,Ewallet,77583
239-48-4278,West,Colorado,Male,67,1632 Mill Pond Rd.,Heathen,93911,Member,Food and beverages,Ewallet,85414
241-11-2261,South,Florida,Female,25,1468 Middle River Rd.,Orange,92572,Normal,Fashion accessories,Credit card,42508
241-72-9525,Midwest,South Dakota,Male,25,1177 Brook St.,Glory View,97437,Normal,Sports and travel,Cash,42838
241-96-5076,South,Maryland,Female,69,1832 S. Harrison Dr,Cerritos,90618,Member,Home and lifestyle,Credit card,68480
242-11-3142,West,Utah,Male,64,1837 37th Dr.,Weatherton,92637,Member,Fashion accessories,Cash,112640
242-55-6721,West,Utah,Male,38,846 Brookside Court,Berkshire,91605,Normal,Home and lifestyle,Ewallet,35719
243-47-2663,South,Georgia,Male,35,1049 S. Shadow Brook Drive,Hampshire,97962,Member,Electronic accessories,Credit card,84173
243-55-8457,West,California,Female,49,370 Mill Pond Rd.,Heathen,99184,Normal,Food and beverages,Ewallet,32954
244-08-0162,South,Mississippi,Female,38,1795 Gates Drive,Summerville,99572,Normal,Health and beauty,Cash,50968
246-11-3901,Midwest,North Dakota,Female,30,1948 Morris St.,Hamburg,92311,Normal,Electronic accessories,Cash,77813
246-55-6923,Midwest,Kansas,Female,57,373 Indian Summer St,Griner,95456,Member,Home and lifestyle,Credit card,27985
247-11-2470,East,New Jersey,Female,33,1057 Gates Drive,Summerville,94873,Member,Fashion accessories,Credit card,117550
249-42-3782,East,New York,Male,27,1747 Gates Drive,Summerville,94973,Normal,Health and beauty,Ewallet,89500
250-17-5703,Midwest,Iowa,Male,58,214 Brook St.,Glory View,95528,Member,Food and beverages,Ewallet,50368
250-81-7186,East,Rhode Island,Female,40,1581 Catherine St.,Hillsburg,97275,Normal,Electronic accessories,Credit card,85278
252-56-2699,East,Maine,Male,23,172 Princeton Rd.,Stamview,95335,Normal,Food and beverages,Ewallet,69080
253-12-6086,East,New York,Female,47,375 S. Harrison Dr,Cerritos,94480,Member,Sports and travel,Credit card,41967
254-31-0042,East,New Jersey,Male,43,1850 West Lilac Lane,Greenview,97647,Member,Electronic accessories,Credit card,39055
256-08-8343,West,Colorado,Female,27,565 Middle River Rd.,Orange,95199,Normal,Home and lifestyle,Ewallet,103762
256-58-3609,Midwest,South Dakota,Male,32,2362 Indian Summer St,Griner,92008,Member,Fashion accessories,Cash,116275
257-60-7754,East,Maine,Female,60,1132 E. Green Lake Court,Prarie View,97646,Normal,Electronic accessories,Cash,84456
257-73-1380,West,Arizona,Male,42,568 Catherine St.,Hillsburg,98628,Member,Sports and travel,Ewallet,98571
258-69-7810,Midwest,North Dakota,Female,41,310 Brook St.,Glory View,96819,Normal,Fashion accessories,Cash,104369
258-92-7466,Midwest,Kansas,Female,36,2302 39th Dr.,Weatherton,91046,Normal,Health and beauty,Credit card,40235
261-12-8671,Midwest,Iowa,Female,60,709 Hilldale Street,Wasburg,97864,Normal,Fashion accessories,Credit card,122018
262-47-2794,Midwest,Iowa,Male,33,1542 Middle River Rd.,Orange,93230,Member,Home and lifestyle,Credit card,122755
263-10-3913,East,Rhode Island,Male,53,1734 Catherine St.,Hillsburg,96152,Member,Fashion accessories,Credit card,121337
263-12-5321,Midwest,Wisconsin,Male,64,1211 Princeton Rd.,Stamview,98894,Member,Electronic accessories,Credit card,25905
263-87-5680,East,Rhode Island,Female,48,1239 E. Green Lake Court,Prarie View,91097,Member,Home and lifestyle,Ewallet,35166
266-20-6657,Midwest,Iowa,Male,37,2198 Hilldale Street,Wasburg,93603,Member,Food and beverages,Ewallet,55843
266-76-6436,South,Kentucky,Female,22,1845 Indian Summer St,Griner,91819,Member,Food and beverages,Ewallet,51974
267-62-7380,South,Kentucky,Male,48,2226 Middle River Rd.,Orange,92538,Member,Electronic accessories,Ewallet,43412
268-03-6164,West,Utah,Male,65,652 24th Dr.,Weatherton,99517,Normal,Health and beauty,Ewallet,97867
268-20-3585,South,Georgia,Female,34,125 Princeton Rd.,Stamview,96854,Normal,Health and beauty,Ewallet,51412
268-27-6179,East,New Jersey,Female,39,1143 Pierce Lane,Fallbrook,90608,Member,Fashion accessories,Ewallet,68663
269-04-5750,East,Vermont,Male,28,495 Princeton Rd.,Stamview,96114,Member,Fashion accessories,Cash,89994
269-10-8440,South,Maryland,Male,45,2145 Main Street,Plainview,95912,Member,Health and beauty,Cash,36492
271-77-8740,South,Mississippi,Female,35,2271 S. Elizabeth Dr.,Sunderlun,96633,Member,Sports and travel,Ewallet,108626
271-88-8734,West,California,Female,36,481 Sierra Rd.,Beaumont,90320,Member,Fashion accessories,Credit card,65571
272-27-9238,Midwest,Wisconsin,Female,65,1086 Pierce Lane,Fallbrook,94139,Normal,Food and beverages,Cash,50743
272-65-1806,East,Rhode Island,Female,29,1463 Laurel Lane,Sunview,92655,Normal,Electronic accessories,Ewallet,30202
273-16-6619,East,Maine,Male,70,322 Sierra Rd.,Beaumont,98537,Normal,Home and lifestyle,Credit card,46081
273-84-2164,West,Colorado,Male,70,1657 Pierce Lane,Fallbrook,95138,Member,Electronic accessories,Ewallet,53977
274-05-5470,East,New York,Female,56,2037 Laurel Lane,Sunview,97800,Member,Food and beverages,Cash,67774
275-28-0149,West,Nevada,Male,25,1133 Morris St.,Hamburg,90867,Normal,Sports and travel,Cash,70088
276-54-0879,Midwest,Kansas,Male,43,1637 S. Harrison Dr,Cerritos,90389,Normal,Sports and travel,Ewallet,29046
276-75-6884,East,New York,Female,64,1094 S. Shadow Brook Drive,Hampshire,97939,Normal,Health and beauty,Cash,98781
277-35-5865,Midwest,South Dakota,Female,60,1158 Hilldale Street,Wasburg,99054,Member,Food and beverages,Cash,65188
277-63-2961,Midwest,North Dakota,Male,25,668 Indian Summer St,Griner,94243,Member,Sports and travel,Credit card,112510
278-86-2735,East,Rhode Island,Female,70,1834 Main Street,Plainview,96962,Normal,Food and beverages,Cash,100714
278-97-7759,West,Colorado,Female,63,857 Mill Pond Rd.,Heathen,99153,Member,Electronic accessories,Cash,76842
279-62-1445,West,California,Female,54,191 S. Shadow Brook Drive,Hampshire,91599,Member,Fashion accessories,Cash,84215
279-74-2924,Midwest,Iowa,Male,57,450 Catherine St.,Hillsburg,95487,Member,Electronic accessories,Cash,113221
280-17-4359,South,Georgia,Male,48,2371 Morris St.,Hamburg,93735,Member,Health and beauty,Cash,109755
280-35-5823,West,Utah,Female,46,2036 Indian Summer St,Griner,93070,Member,Home and lifestyle,Ewallet,124115
282-35-2475,Midwest,South Dakota,Female,69,1411 S. Shadow Brook Drive,Hampshire,98888,Normal,Sports and travel,Cash,46172
283-26-5248,South,Kentucky,Female,29,1260 Laurel Lane,Sunview,90498,Member,Food and beverages,Ewallet,120730
283-79-9594,East,New York,Female,53,602 Middle River Rd.,Orange,96638,Normal,Food and beverages,Credit card,37128
284-34-9626,East,Rhode Island,Female,32,555 Gates Drive,Summerville,94739,Normal,Home and lifestyle,Credit card,33710
284-54-4231,West,California,Male,52,1631 Princeton Rd.,Stamview,99596,Member,Sports and travel,Credit card,94552
285-68-5083,South,Mississippi,Female,43,1474 Indian Summer St,Griner,91289,Member,Sports and travel,Credit card,74270
286-01-5402,Midwest,North Dakota,Female,52,659 Main Street,Plainview,95010,Normal,Sports and travel,Cash,88347
286-43-6208,West,Utah,Female,32,1835 Mill Pond Rd.,Heathen,97859,Normal,Food and beverages,Cash,63385
286-62-6248,East,Rhode Island,Male,30,739 Main Street,Plainview,91187,Normal,Fashion accessories,Credit card,63266
286-75-7818,Midwest,Wisconsin,Male,34,1286 Gates Drive,Summerville,99604,Normal,Fashion accessories,Credit card,90665
287-21-9091,West,Utah,Male,43,2091 Brookside Court,Berkshire,94050,Normal,Home and lifestyle,Ewallet,82588
287-83-1405,East,Rhode Island,Male,28,2264 Gates Drive,Summerville,97175,Normal,Health and beauty,Ewallet,120917
288-38-3758,West,Utah,Female,59,110 Brookside Court,Berkshire,91030,Member,Fashion accessories,Ewallet,35304
288-62-1085,South,Mississippi,Male,63,972 Catherine St.,Hillsburg,96617,Member,Fashion accessories,Ewallet,65514
